category,severity,role_persona,criterion
需求覆盖,🔴,产品审查专家,是否覆盖所有用户故事？逐条核对需求文档中的验收标准
需求覆盖,🔴,产品审查专家,异常路径是否有处理？空数据、网络失败、权限不足、并发冲突
需求覆盖,🟡,产品审查专家,边界场景是否完整？最大值/最小值/零值/负数/超长文本/特殊字符
需求覆盖,🟡,产品审查专家,是否处理了功能的前置条件和后置条件？
需求覆盖,🟡,产品审查专家,删除/取消操作是否有二次确认？是否支持撤销？
竞品对标,🟡,产品审查专家,核心功能是否达到竞品基准？列出至少 2 个竞品的同类功能对比
竞品对标,🔵,产品审查专家,差异化功能是否明确？有无仅为了不同而不同的伪需求
竞品对标,🟡,产品审查专家,功能完成度是否达到 MVP 标准？可用但不完善 vs 完善且可用
A/B实验,🟡,数据分析师,实验指标是否预先定义？主指标 + 辅助指标 + 护栏指标
A/B实验,🔴,数据分析师,实验分组是否随机且互斥？是否存在流量分配偏差
A/B实验,🟡,数据分析师,实验周期是否足够？最小可检测效应（MDE）是否计算
A/B实验,🟡,数据分析师,是否有实验停止规则？防止 p-hacking 和过早停止
功能完整性,🔴,产品审查专家,Server Action 是否处理了所有可能的错误分支？成功/失败/部分成功/超时
功能完整性,🔴,产品审查专家,乐观更新是否有回滚机制？冲突时如何恢复
功能完整性,🟡,产品审查专家,操作是否有明确的成功/失败反馈？用户能否知道操作结果
功能完整性,🟡,产品审查专家,长操作是否有进度指示？是否可取消
功能完整性,🟡,产品审查专家,功能开关（feature flag）是否支持灰度回滚？
功能完整性,🔵,产品审查专家,是否考虑了国际化/多语言？硬编码文案是否提取为 i18n key
