category,severity,role_persona,criterion
交互完整性,🔴,UX审查专家,加载态是否完整？数据获取时是否有骨架屏或 Spinner
交互完整性,🔴,UX审查专家,空态是否完整？无数据时是否有引导操作的空状态
交互完整性,🔴,UX审查专家,错误态是否完整？出错时是否有可操作的恢复建议而非仅显示错误码
交互完整性,🟡,UX审查专家,关键操作的点击步数是否最优？核心路径是否 <= 3 步
交互完整性,🟡,UX审查专家,表单是否有实时校验反馈？失焦校验而非仅提交后校验
交互完整性,🟡,UX审查专家,列表是否有分页或无限滚动？大数据量是否虚拟化
交互完整性,🟡,UX审查专家,操作是否有 loading 反馈？按钮提交后是否禁用并显示加载态
交互完整性,🔵,UX审查专家,页面切换是否有过渡？是否使用了 loading.tsx 或骨架屏
视觉一致性,🔴,设计系统审查专家,是否使用了设计系统的统一组件？有无手写重复组件
视觉一致性,🟡,设计系统审查专家,间距是否遵循设计 Token？4px/8px/16px/24px/32px 基准
视觉一致性,🟡,设计系统审查专家,颜色是否使用 CSS 变量或 Tailwind 主题色？有无硬编码色值
视觉一致性,🟡,设计系统审查专家,字体层级是否一致？标题/正文/辅助文字的 size/weight 是否统一
视觉一致性,🟡,设计系统审查专家,圆角/阴影/边框是否一致？是否复用 shadcn/ui 的统一样式
视觉一致性,🔵,设计系统审查专家,图标风格是否统一？是否同一图标集（如 lucide-react）
视觉一致性,🟡,设计系统审查专家,暗色模式是否支持？是否测试了 dark: 变体的视觉效果
微交互,🟡,交互设计专家,可点击元素是否有 hover/active/focus 反馈？
微交互,🟡,交互设计专家,状态切换是否有过渡动画？transition 是否设置了合理的 duration
微交互,🟡,交互设计专家,Toast 通知是否自动消失？是否可手动关闭？是否不阻塞操作
微交互,🔵,交互设计专家,骨架屏是否模拟了真实内容的布局？而非简单的灰色块
微交互,🟡,交互设计专家,表单输入是否有 focus 高亮？错误时是否有抖动或高亮反馈
微交互,🔵,交互设计专家,删除等危险操作是否有视觉警告？红色确认/二次确认
微交互,🟡,交互设计专家,页面滚动是否有滚动捕获？scroll-snap 是否合理使用
信息架构,🟡,信息架构专家,导航层级是否 <= 3 层？用户能否在 3 次点击内到达任何页面
信息架构,🟡,信息架构专家,当前页面在导航中是否高亮？用户是否知道自己在哪
信息架构,🟡,信息架构专家,面包屑是否完整？深层页面是否有返回路径
信息架构,🟡,信息架构专家,页面标题是否清晰？h1 是否唯一且语义化
信息架构,🔵,信息架构专家,URL 结构是否语义化？是否反映了信息层级
